"track","artist","album"
"protect my energy","little simz","sometimes i might be introvert"
"holdin' on","zack fox","wood tip"
"d-natural blues","wes montgomery","incredible jazz guitar"
"minecraft","c418","minecraft - volume alpha"
"judgement","kensuke ushio","devilman crybaby (original soundtrack)"
"moment's notice","potsu","just friends"
"valentine","laufey","everything i know about love"
"rialto at ten","justin hurwitz","la la land (original motion picture score)"
"key","c418","minecraft - volume alpha"
"うみてんぐ","ichiko aoba","マホロボシヤ"
"sperenza","flavien berger","tout le monde aime jeanne (bande originale du film)"
"サンシャイン","セキトオ・シゲオ","華麗なるエレクトーン -キャッチ・イン・アリス-"
"this is my beloved","mort garson","music from patch cord productions"
"roh","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"マホロボシヤ","ichiko aoba","マホロボシヤ"
"it could happen to you","ryo fukui","シーナリィ"
"excuse","c418","minecraft - volume alpha"
"日本少年の夏","lamp","ランプ幻想"
"さよならはハート仕掛け","kaede","秋の惑星、ハートはナイトブルー。"
"gazebo","potsu","just friends"
"beastars","神前 暁","tvアニメ「beastars」オリジナルサウンドトラック"
"the girl from ipanema","antônio carlos jobim","the composer of desafinado, plays"
"tin tin por tin tin","joão gilberto","amoroso"
"hymn of the soul","haruko komiya","persona5 original soundtrack"
"hirogaru-namida","lamp","for lovers"
"garota de ipanema","nara leão","nara dez anos depois"
"lean back","potsu","just friends"
"chega de saudade","nara leão","nara dez anos depois"
"ein","enluv","ein"
"bésame mucho","los panchos","historia de un amor"
"... o corpo é que paga","antónio variações","anjo da guarda"
"singin' in the rain","gene kelly","singin' in the rain (original motion picture soundtrack)"
"tank!","seatbelts","cowboy bebop (original motion picture soundtrack)"
"cappucino","chick corea","friends"
"quel temps fait-il à paris ? - les vacances de m. hulot","alain romans","sonorama !"
"男のバラード","godiego","いろはの“い” (オリジナル・サウンドトラック)"
"natascha - long version","peter thomas sound orchester","van de velde: die vollkommene ehe & das leben zu zweit"
"balzac et gymnastique","jean constantin","françois truffaut les les quatre cents coups - bande sonore original du film"
"how is the weather in paris (from ""monsieur hulot's holiday"")","alain romans","jacques tati soundtracks (remastered)"
"amarcord: gary cooper","nino rota","original music for the movies of federico fellini"
"thatcherie (from ""inner space"")","sven libaek","inner space: the lost film music of sven libaek"
"ハピネス","セキトオ・シゲオ","華麗なるエレクトーン -ザ・ワード-"
"les choses de la vie - from ""les choses de la vie"" soundtrack","philippe sarde","cinéma français"
"princess mononoke theme song","joe hisaishi","princess mononoke soundtrack"
"theme d'amour","martial solal","a bout de souffle (breathless) [original soundtrack] [1959]"
"flim","simon farintosh","aphex twin for guitar"
"gard à vue - from deux hommes dans la ville","philippe sarde","deux hommes dans la ville (bande originale du film avec alain delon)"
"a journey (a dream of flight)","joe hisaishi","the wind rises soundtrack"
"hello marylin","vladimir cosma","un éléphant ça trompe énormément (bande originale du film d'yves robert)"
"i'm armed","eiko ishibashi","i'm armed"
"the freezer aisle","joe pera talks with you","joe pera talks with you (season 2 soundtrack)"
"virgil's theme","mort garson","didn't you hear?"
"la dolce vita (theme) / in via veneto - remastered 2022","nino rota","la dolce vita (original motion picture soundtrack / remastered 2022)"
"violette…","philippe sarde","violette et françois (original cinema soundtrack)"
"valse triste - from ""alphaville""","paul misraki","musique & cinéma : des années 50 à la nouvelle vague (bandes originales de films) [versions remasterisées]"
"papete aru","piero umiliani","le isole dell'amore (colonna sonora originale del film di pino de martino)"
"finally i will know myself","arthur","woof woof"
"main theme a","kazumasa hashimoto","tokyo sonata soundtrack"
"un eléphant ça trompe énormément","vladimir cosma","un éléphant ça trompe énormément (bande originale du film d'yves robert)"
"motivo di giorgia","fred bongusto","gli ordini sono ordini (original motion picture soundtrack)"
"thème d'amour - from ""alphaville""","paul misraki","musique & cinéma : des années 50 à la nouvelle vague (bandes originales de films) [versions remasterisées]"
"jeanne et marceau - bande originale du film ""dernier domicile connu""","françois de roubaix","dernier domicile connu et autres films (le rapace - un aller simple)"
"i'm old","eiko ishibashi","i'm armed"
"interludio giallo, pt. 3","piero umiliani","5 bambole per la luna d'agosto (original motion picture soundtrack)"
"caro diario: il campo di pallone","nicola piovani","caro diario un film di nanni moretti"
"eye of the tiger","survivor","rocky iv"
"angel of love (perfect blue)","mari usagi","angel of love (perfect blue)"
"purple eyes","castlevania sound team","akumajo dracula harmony of despair original soundtrack selection"
"kairi i","yoko shimomura","kingdom hearts -hd 1.5 remix- (original soundtrack)"
"栞日","ironomi","琹の葉"
"kairi ii","下村陽子","kingdom hearts -hd 1.5 remix- (original soundtrack)"
"蜃気楼の島へ","masayoshi takanaka","seychelles"
"カーリーとキャロル","セキトオ・シゲオ","華麗なるエレクトーン -ザ・ワード-"
"urute -haru no uchi-","masakatsu takagi","kagayaki"
"ooharu","masakatsu takagi","kagayaki"
"ageha (gassho)","masakatsu takagi","kagayaki"
"pilgrimage","ichiko aoba","windswept adan"
"there the whole time / twirl","justin hurwitz","la la land (original motion picture score)"
"中二階","emerson kitamura","ロックンロールのはじまりは"
"halmeoni","emile mosseri","minari (original motion picture soundtrack)"
"basement","potsu","just friends"
"hfoas","mei semones","hfoas"
"words of love","lamp","for lovers"
"airegin","wes montgomery","incredible jazz guitar"
"wishy washy","kensuke ushio","devilman crybaby (original soundtrack)"
"doralice","stan getz","getz/gilberto"
"sophie in exile","joe hisaishi","howl's moving castle soundtrack"
"soulo 01","flavien berger","tout le monde aime jeanne (bande originale du film)"
"home","chance thrash","tea time"
"jeanne intermezzo nu","flavien berger","tout le monde aime jeanne (bande originale du film)"
"kwa no hara","masakatsu takagi","kagayaki"
"água de beber","antônio carlos jobim","the composer of desafinado, plays"
"avril 14th","aphex twin","drukqs"
"it began with a letter","yoko shimomura","kingdom hearts -hd 1.5 remix- (original soundtrack)"
"batidinha","antônio carlos jobim","wave"
"my funny valentine","bill evans","undercurrent"
"death","c418","minecraft - volume alpha"
"13 pieces, op. 76: no. 2 etude","jean sibelius","sibelius: piano music, vol. 4"
"アーミッシュ・アット・ダスク","セキトオ・シゲオ","アーティスティック・エレクトーン"
"nights","masayoshi takanaka","brasilian skies"
"maw","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"btf","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"blue moon - 1999 remastered","frank sinatra","sinatra's swingin' session!!! and more (remastered / expanded edition)"
"selfish high heels","yung bae","selfish high heels"
"but not for me - vocal version","chet baker","chet baker sings"
"piano black","seatbelts","cowboy bebop (original motion picture soundtrack)"
"ocean man","ween","the mollusk"
"friday night","sega sound team","龍が如く0 誓いの場所 オリジナルサウンドトラック (side b)"
"wild side -anime ver.-","ali","wild side -anime ver.-"
"what planet is this.","seatbelts","cowboy bebop tank! the! best!"
"vaudeville villain","viktor vaughn","vaudeville villain"
"brasilian skies","masayoshi takanaka","brasilian skies"
"baby talk (flying beagle)","komuchiwa","baby talk (flying beagle)"
"cosmos","seatbelts","cowboy bebop (original motion picture soundtrack)"
"beyond the sea","bobby darin","that's all"
"space cowboy","saib","ipanema"
"pedestrians crossing","brenton kossak","skullgirls: the complete soundtrack"
"weather","ginger root","weather"
"all caps","madvillain","madvillainy"
"san francisco","midicronica","#501"
"パプリカ","kenshi yonezu","stray sheep"
"blue in green","potsu","ivy league"
"夜風","lamp","木洩陽通りにて"
"qut","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"for what","potsu","ivy league"
"symphony","lamp","yume"
"aft","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"she will destroy you","cocteau twins","the moon and the melodies"
"supercalifragilisticexpialigetisch","monika dahlberg","mary poppins (deutscher original film-soundtrack)"
"the longest time","billy joel","an innocent man"
"folded","planet giza","ready when you are"
"paraphernalia","temples","paraphernalia"
"svg","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"malibu","masayoshi takanaka","an insatiable high"
"tre","kensuke ushio","a shape of light ""a silent voice the movie"" original soundtrack"
"じゃじゃ馬娘","大貫妙子","mignonne (mastered by bernie grundman)"
"bubblegum","cigarettes after sex","bubblegum"
